idnorempan;PERIODO;SECCION;ACTNOM;GASPROGESAMB;gastos_tot;FUEN_AG_TOT;WTOTECONSUM;ACTINV1;ACTINV2;ACTINV3;ACTINV4;ACTINV5;ACTINV6;ACTINV7;ACTINV8;ACTGAST1;ACTGAST2;ACTGAST3;ACTGAST4;ACTGAST5;ACTGAST6;ACTGAST7;ACTGAST8;ACTGAST9;PERSAMB
19603;2023;J4 Inform y serv de información;Edición de programas de informática (software);0;13192367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20927;2023;J4 Inform y serv de información;Edición de programas de informática (software);0;13192367;1134;6432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20948;2023;J4 Inform y serv de información;Edición de programas de informática (software);0;13192367;1135;6432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20857;2023;J4 Inform y serv de información;Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas);273821;379866002;1445;330543;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
12481;2023;J4 Inform y serv de información;Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas);273821;379866002;1445;330543;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0
10700;2023;J4 Inform y serv de información;Comercio al por mayor de computadores, equipo periférico y programas de informática;273821;379866002;1444;330543;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
19364;2023;J4 Inform y serv de información;Actividades de consultoría informática y actividades de administración de instalaciones informáticas;586239;179848843;4798;439642;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1
13900;2023;J4 Inform y serv de información;Actividades de consultoría informática y actividades de administración de instalaciones informáticas;586239;179848843;4797;439642;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
12186;2023;J4 Inform y serv de información;Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas);586239;179848843;4797;439642;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
12480;2023;J4 Inform y serv de información;Otras actividades de tecnologías de información y actividades de servicios informáticos;26145;124145958;962;510294;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
15859;2023;J4 Inform y serv de información;Otras actividades de tecnologías de información y actividades de servicios informáticos;26145;124145958;0;510294;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
19392;2023;J4 Inform y serv de información;Otras actividades de tecnologías de información y actividades de servicios informáticos;26145;124145958;962;510294;1;1;1;1;1;1;1;0;0;1;0;1;1;0;0;0;1;1
18016;2023;J4 Inform y serv de información;Procesamiento de datos, alojamiento (hosting) y actividades relacionadas;177900;127516584;7168;931807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
20003;2023;J4 Inform y serv de información;Procesamiento de datos, alojamiento (hosting) y actividades relacionadas;177900;127516584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
10681;2023;J4 Inform y serv de información;Procesamiento de datos, alojamiento (hosting) y actividades relacionadas;177900;127516584;7167;931807;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
20781;2023;J4 Inform y serv de información;Portales web;39417;183451823;2419;323889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20764;2023;J4 Inform y serv de información;Portales web;39417;183451823;2419;323889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20340;2023;J4 Inform y serv de información;Comercio al por mayor de productos alimenticios;39417;183451823;2418;323888;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
20925;2023;J4 Inform y serv de información;Otras actividades de servicios de información n.c.p.;34119;14161117;45;35345;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
18864;2023;J4 Inform y serv de información;Otras actividades de servicios de información n.c.p.;34119;14161117;0;35345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
12878;2023;J4 Inform y serv de información;Otras actividades de servicios de información n.c.p.;34119;14161117;45;35345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18208;2023;LN1 Inmobiliarias Y Alquileres;Actividades inmobiliarias realizadas con bienes propios o arrendados;616418;39076873;93345;3158740;0;1;1;1;1;0;1;1;0;1;0;1;1;0;1;1;0;1
13369;2023;LN1 Inmobiliarias Y Alquileres;Actividades inmobiliarias realizadas con bienes propios o arrendados;616418;39076873;93345;3158740;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0
13132;2023;LN1 Inmobiliarias Y Alquileres;Comercio al por menor de combustible para automotores;616418;39076873;93345;3158740;0;1;1;1;1;0;1;0;0;1;1;1;1;0;0;1;0;0
18681;2023;LN1 Inmobiliarias Y Alquileres;Actividades inmobiliarias realizadas a cambio de una retribución o por contrata;544186;27316213;66267;3359426;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1
19121;2023;LN1 Inmobiliarias Y Alquileres;Actividades inmobiliarias realizadas a cambio de una retribución o por contrata;544186;27316213;66267;3359426;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1
11696;2023;LN1 Inmobiliarias Y Alquileres;Actividades inmobiliarias realizadas con bienes propios o arrendados;544186;27316213;66267;3359426;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1
13844;2023;LN1 Inmobiliarias Y Alquileres;Alquiler y arrendamiento de vehículos automotores;57001;415732901;8027;481592;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
13257;2023;LN1 Inmobiliarias Y Alquileres;Construcción de otras obras de ingeniería civil;57001;415732901;8027;481592;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0
11741;2023;LN1 Inmobiliarias Y Alquileres;Alquiler y arrendamiento de vehículos automotores;57001;415732901;8027;481592;1;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1
11880;2023;LN1 Inmobiliarias Y Alquileres;Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.;299566;73829399;1985;128677;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
20899;2023;LN1 Inmobiliarias Y Alquileres;Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.;299566;73829399;1985;128677;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1
20729;2023;LN1 Inmobiliarias Y Alquileres;Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.;299566;73829399;1985;128677;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
10769;2023;M1 Actividades profesionales, científicas;Actividades jurídicas;46102;73290127;1177;96549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
12913;2023;M1 Actividades profesionales, científicas;Actividades de consultoría de gestión;46102;73290127;1177;96549;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
11688;2023;M1 Actividades profesionales, científicas;Actividades jurídicas;46102;73290127;1177;96549;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1
20112;2023;M1 Actividades profesionales, científicas;Actividades combinadas de servicios administrativos de oficina;96593;115562445;1726;306205;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
10751;2023;M1 Actividades profesionales, científicas;Actividades de consultoría de gestión;96593;115562445;1726;306205;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
18610;2023;M1 Actividades profesionales, científicas;Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria;96593;115562445;1726;306205;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1
19922;2023;M1 Actividades profesionales, científicas;Actividades de administración empresarial;273810;99805032;1940;276670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
14175;2023;M1 Actividades profesionales, científicas;Actividades de administración empresarial;273810;99805032;1940;276670;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
