PERIODO,idnoremp,ciiu4,ACTNOM,Seccion,gastos_tot,GASPROGESAMB,ACTINV1,ACTINV2,ACTINV3,ACTINV4,ACTINV5,ACTINV6,ACTINV7,ACTINV8,ACTGAST1,ACTGAST2,ACTGAST3,ACTGAST4,ACTGAST5,ACTGAST6,ACTGAST7,ACTGAST8,ACTGAST9,PERSAMB
2021,20135,8621,Otras actividades de atención de la salud humana,Q Salud humana,7058502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20136,8691,Actividades de apoyo diagnóstico,Q Salud humana,13421050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20137,8691,Actividades de apoyo diagnóstico,Q Salud humana,5796500,4507,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,20138,8621,"Actividades de la práctica médica, sin internación",Q Salud humana,8080056,32297,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2021,20139,8621,"Actividades de la práctica médica, sin internación",Q Salud humana,3418833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20141,8692,Actividades de apoyo terapéutico,Q Salud humana,12170786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20142,8621,"Actividades de la práctica médica, sin internación",Q Salud humana,2830062,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20461,8610,Actividades de apoyo diagnóstico,Q Salud humana,2446642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20143,8621,"Actividades de la práctica médica, sin internación",Q Salud humana,4463685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20144,8621,"Actividades de hospitales y clínicas, con internación",Q Salud humana,8291140,10333,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,20145,8691,Actividades de apoyo diagnóstico,Q Salud humana,3846242,910,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,20146,8621,"Actividades de la práctica médica, sin internación",Q Salud humana,10951304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20147,8692,Actividades de apoyo terapéutico,Q Salud humana,4347821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20148,8622,Actividades de la práctica odontológica,Q Salud humana,11750080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20462,8691,"Actividades de la práctica médica, sin internación",Q Salud humana,1998181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20463,5612,Expendio por autoservicio de comidas preparadas,I2 Expendio de alimentos,6258474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20464,7911,"Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",N2 Agencias de viajes,31692717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20465,7010,Actividades de administración empresarial,"M1 Actividades profesionales, científicas",26851794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20466,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,LN1 Inmobiliarias Y Alquileres,5024851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20467,5619,Otros tipos de expendio de comidas preparadas n.c.p.,I2 Expendio de alimentos,2226375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20468,5629,Construcción de proyectos de servicio público,I2 Expendio de alimentos,39395253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20469,7310,Publicidad,M2 Publicidad,5551108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20470,5611,Expendio a la mesa de comidas preparadas,I2 Expendio de alimentos,6116708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20471,5611,Expendio a la mesa de comidas preparadas,I2 Expendio de alimentos,7072390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20472,5612,Expendio por autoservicio de comidas preparadas,I2 Expendio de alimentos,31679326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20473,5611,Expendio a la mesa de comidas preparadas,I2 Expendio de alimentos,6542837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20474,5611,Expendio a la mesa de comidas preparadas,I2 Expendio de alimentos,1639890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20475,5619,Otros tipos de expendio de comidas preparadas n.c.p.,I2 Expendio de alimentos,8575187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20476,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,LN1 Inmobiliarias Y Alquileres,1197927,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,20477,8230,Organización de convenciones y eventos comerciales,N4 Actividades administrativas,2519105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
