idnorempan;PERIODO;SECCION;ACTNOM;GASPROGESAMB;gastos_tot;ACTINV1;ACTINV2;ACTINV3;ACTINV4;ACTINV5;ACTINV6;ACTINV7;ACTINV8;ACTGAST1;ACTGAST2;ACTGAST3;ACTGAST4;ACTGAST5;ACTGAST6;ACTGAST7;ACTGAST8;ACTGAST9;PERSAMB
20948;2022;J4 Inform y serv de información;Edición de programas de informática (software);0;5396662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10700;2022;J4 Inform y serv de información;Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas);723621;325413591;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
12143;2022;J4 Inform y serv de información;Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas);723621;325413591;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1
13048;2022;J4 Inform y serv de información;Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas);723621;325413591;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0
19503;2022;J4 Inform y serv de información;Actividades de bibliotecas y archivos;46338;219603053;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10632;2022;J4 Inform y serv de información;Actividades de consultoría informática y actividades de administración de instalaciones informáticas;46338;219603053;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
12718;2022;J4 Inform y serv de información;Actividades de estaciones, vías y servicios complementarios para el transporte terrestre;46338;219603053;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
20346;2022;J4 Inform y serv de información;Comercio al por mayor de computadores, equipo periférico y programas de informática;19781;140701973;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
12480;2022;J4 Inform y serv de información;Otras actividades de tecnologías de información y actividades de servicios informáticos;19781;140701973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
19392;2022;J4 Inform y serv de información;Otras actividades de tecnologías de información y actividades de servicios informáticos;19781;140701973;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;1
10681;2022;J4 Inform y serv de información;Procesamiento de datos, alojamiento (hosting) y actividades relacionadas;56747;62260879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
20993;2022;J4 Inform y serv de información;Procesamiento de datos, alojamiento (hosting) y actividades relacionadas;56747;62260879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
18016;2022;J4 Inform y serv de información;Procesamiento de datos, alojamiento (hosting) y actividades relacionadas;56747;62260879;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12127;2022;J4 Inform y serv de información;Portales web;9369;140875177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18017;2022;J4 Inform y serv de información;Publicidad;9369;140875177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20340;2022;J4 Inform y serv de información;Portales web;9369;140875177;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19797;2022;J4 Inform y serv de información;Otras actividades de servicios de información n.c.p.;35087;14038042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20925;2022;J4 Inform y serv de información;Otras actividades de servicios de información n.c.p.;35087;14038042;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
18864;2022;J4 Inform y serv de información;Otras actividades de servicios de información n.c.p.;35087;14038042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
13369;2022;LN1 Inmobiliarias Y Alquileres;Actividades inmobiliarias realizadas con bienes propios o arrendados;345945;43083653;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;0;1
10146;2022;LN1 Inmobiliarias Y Alquileres;Actividades de consultoría de gestión;345945;43083653;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1
18208;2022;LN1 Inmobiliarias Y Alquileres;Actividades inmobiliarias realizadas con bienes propios o arrendados;345945;43083653;0;1;1;0;0;0;0;1;1;1;1;0;1;0;1;1;0;1
19121;2022;LN1 Inmobiliarias Y Alquileres;Actividades de otras asociaciones n.c.p.;554245;18421317;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;1
11696;2022;LN1 Inmobiliarias Y Alquileres;Actividades inmobiliarias realizadas con bienes propios o arrendados;554245;18421317;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
