Periodo,idnoremp,ciiu4,idact,seccion,gastos_tot,GASPROGESAMB,INGREVEN,ACTINV1,ACTINV2,ACTINV3,ACTINV4,ACTINV5,ACTINV6,ACTINV7,ACTINV8,ACTINV9,ACTGAST1,ACTGAST2,ACTGAST3,ACTGAST4,ACTGAST5,ACTGAST6,ACTGAST7,ACTGAST8,ACTGAST9,PERSAMB,PUEAA,SEPRRSSC,REUTRECI,TRATRECI,COMRESID,COMPMPS,intio
2019,10101,8610,8511,Q Salud humana,54151669,155807,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,si,si,si,si,no,no,no,41411729
2019,10102,8610,8511,Q Salud humana,866929086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,no,no,555181276
2019,10103,8692,8515,Q Salud humana,4363370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,5912057
2019,10104,8692,8515,Q Salud humana,28961311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,si,si,no,no,18910204
2019,10105,8691,8514,Q Salud humana,19479049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,no,no,no,no,15495334
2019,10107,8621,8512,Q Salud humana,23398233,5712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,si,no,no,no,no,no,no,16580202
2019,10108,8610,8511,Q Salud humana,7612159,0,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,no,si,no,no,no,no,5421793
2019,10109,8621,8512,Q Salud humana,17433469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,no,no,no,no,11227617
2019,10111,8691,8514,Q Salud humana,26000029,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,no,no,no,no,21954300
2019,10112,8691,8514,Q Salud humana,29035769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,no,si,no,no,no,no,34394037
2019,10113,8691,8514,Q Salud humana,27652556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,no,no,no,19337504
2019,10114,8691,8514,Q Salud humana,14919935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,no,si,no,no,no,no,11324450
2019,10115,8621,8512,Q Salud humana,5312783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,no,no,4622558
2019,10116,8621,8512,Q Salud humana,6394293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,no,no,5161089
2019,10117,6020,9213,J2 Prog y trans de radio y televisión,2563139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,1326218
2019,10118,6020,9213,J2 Prog y trans de radio y televisión,22467518,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,no,no,no,no,26949625
2019,10119,9603,9303,S Otros Servicios,9840823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,si,no,no,no,9056931
2019,10120,9603,9303,S Otros Servicios,17644442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,no,no,no,15795255
2019,10121,7820,7491,N3 Obtención y suministro de personal,4895169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,5185587
2019,10122,8299,7499,N4 Actividades administrativas,2620046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,no,no,si,no,3102130
2019,10123,5511,5511,I1 Alojamiento,4191525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,no,no,no,si,si,si,4192840
2019,10124,5511,5511,I1 Alojamiento,4050229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,no,si,si,no,5047172
2019,10125,8610,8511,Q Salud humana,120837388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,no,no,no,59545365
2019,10127,8610,8511,Q Salud humana,153668213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,no,no,155261302
2019,10128,5229,6390,H1 Auxiliares del transporte,1839862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,2093178
2019,10129,7820,7491,N3 Obtención y suministro de personal,13420233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,si,no,no,13638559
