id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb,anio_inicio,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
10889,2021,H2,postales y correos,"1.544.522,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,H2,1275715,1,66600,66600,0,1,1,11554,19205,568,7016,0
10891,2021,M2,publicidad,"30.606.336,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,M2,38577965,175,13342616,14530352,85,90,175,173561,191072,4333,87366,324
10892,2021,J1,otros servicios,"5.104.707,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,J1,5289630,24,1546447,1622701,12,12,24,58807,27792,3901,14116,0
10893,2021,M2,publicidad,"3.494.007,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,M2,3748854,13,535858,545396,9,4,13,38350,22862,3580,8643,0
10894,2021,M2,publicidad,"23.741.062,00","23.082,00",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,M2,33562604,61,5335274,5361330,31,78,109,341300,51347,28840,15089,0
10895,2021,M2,publicidad,"40.520.880,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,M2,45838402,220,17890302,17938416,93,130,223,211515,341933,6148,48339,366
10896,2021,M2,publicidad,"13.156.694,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,M2,14727167,59,3488861,4176132,25,34,59,171784,82491,1040,7243,0
15514,2021,M2,publicidad,"3.017.104,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,M2,3187392,25,1633100,1822310,15,10,25,28320,15575,1468,4527,0
10898,2021,M2,publicidad,"6.995.303,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,M2,9000924,33,1164080,1182287,14,19,33,86488,55620,2207,51432,0
10899,2021,M2,publicidad,"152.767.343,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,M2,273523025,5656,164065527,176122356,3294,2378,5672,1523489,951584,147327,151690,0
10900,2021,M2,publicidad,"52.654.033,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,M2,49955052,131,10612268,10862583,79,52,131,318538,905995,1069,10232,0
10901,2021,M2,publicidad,"22.011.897,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,M2,28307397,83,7410122,7840032,51,32,83,72486,275416,712,13976,0
