id_empresa,anio_inicio,periodo,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
18526,1991,2022,S,5956032,83,2131719,2143391,40,50,90,13685,52325,5353,58816,3192
18527,2014,2022,R,156815323,343,7440096,7482886,224,119,343,60824,27437,58023,671660,434
18528,2004,2022,R,10111750,69,2012923,2169748,52,21,73,0,32147,12433,539287,1326
18529,2008,2022,M1,7142261,82,2192251,2284316,61,21,82,72000,0,431,3374,36
18531,2012,2022,N3,2914145,120,2230798,2315162,4,116,120,1906,132,7664,2500,118
19118,2018,2022,I1,2374692,26,938110,986241,22,4,26,4960,22578,1448,159081,27102
19119,2004,2022,M1,1654423,18,755713,769199,18,0,18,8374,6387,1429,4502,30
19120,1996,2022,S,20126258,141,4841324,5811604,78,63,141,131397,59455,52094,275590,414
19721,2015,2022,LN1,64679312,580,30114916,30257050,335,245,580,312685,238413,3032,81556,0
19121,2017,2022,LN1,7417360,71,2255517,2376235,28,43,71,17714,39173,382662,1693877,0
19122,2006,2022,LN1,5948886,28,1067623,1122639,11,17,28,14180,13495,97900,500419,0
19123,1967,2022,R,5671719,173,5677829,5974491,90,87,177,49937,59438,78957,0,0
19124,1993,2022,R,36432779,317,7339204,7508113,193,124,317,4746,0,93194,291869,0
19125,2001,2022,R,863938,16,934074,938414,10,11,21,21779,10693,5923,69827,180
19126,1996,2022,LN1,7231982,41,2127933,2194616,13,28,41,73366,85926,2465,61894,1557
19722,2015,2022,I1,2289123,20,399512,399512,10,11,21,9145,21055,23718,210700,11723
19723,2008,2022,I1,1066906,8,195463,202904,7,1,8,15482,33756,711,61640,0
19724,2008,2022,Q,80693120,510,21969930,24080751,405,139,544,0,162880,174607,2088042,13974
20580,2012,2022,I1,1230132,17,328633,338475,14,4,18,9550,0,1548,70300,3001
20228,2009,2022,I1,1132835,10,263701,292984,9,2,11,1062,3599,2294,84409,0
20229,2012,2022,R,3224655,55,1891742,2295482,1,54,55,0,121940,0,0,0
20230,2011,2022,Q,44037178,257,6257223,6496987,178,79,257,6436,93814,56564,683744,535
20231,2013,2022,Q,12704158,88,4058689,4058689,68,20,88,7927,2600,8625,225362,75845
20232,2012,2022,Q,24947400,38,1489689,1550474,14,24,38,6632,1548955,852,34893,0
20233,2009,2022,Q,10364174,47,3247223,3341032,35,12,47,7568,3820,13525,50749,1078
20234,2012,2022,Q,25487234,171,5451197,5612453,113,60,173,99803,7200,14141,203033,1540
