id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb,anio_inicio,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
19999,2022,Q,salud humana,21931823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,Q,28101000.0,24.0,787794,787794,17.0,7.0,24.0,336000,1542000,41950,170110,890
20285,2022,Q,salud humana,3181247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,Q,3579183.0,14.0,403296,403296,18.0,7.0,25.0,13612,8042,8748,5186,0
20000,2022,Q,salud humana,2132957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,Q,1997731.0,59.0,1263686,1321634,47.0,12.0,59.0,7800,4080,1080,3600,0
20286,2022,Q,salud humana,6412935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,Q,7192407.0,45.0,1356276,1465556,38.0,7.0,45.0,201467,14203,17040,56331,145
20001,2022,Q,salud humana,6491585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,Q,5832721.0,36.0,905645,1041282,24.0,12.0,36.0,0,93434,49267,124245,0
11999,2022,Q,salud humana,5417657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,Q,5299230.0,47.0,1180112,1238317,37.0,10.0,47.0,3897,105700,15060,38474,271
20737,2022,Q,salud humana,22974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,Q,52574.0,281.0,11930,11930,110.0,171.0,281.0,631,231,12,132,0
20752,2022,Q,salud humana,43711125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,Q,48789247.0,532.0,12077203,12077203,436.0,96.0,532.0,0,1705,65161,388224,1976
20759,2022,Q,salud humana,46134001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,Q,54047130.0,299.0,12001147,12218078,239.0,60.0,299.0,23827,0,55822,332353,0
20767,2022,Q,salud humana,17213772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,Q,20687477.0,139.0,5534111,5739065,84.0,55.0,139.0,191460,46459,0,0,0
