id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb
18174,2022,J3,actividades de telecomunicaciones,163593476,321175,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10534,2022,J3,actividades de telecomunicaciones,163593476,321175,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0
20927,2022,J4,inform y serv de informacion,5396662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19812,2022,J4,inform y serv de informacion,5396662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20948,2022,J4,inform y serv de informacion,5396662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10700,2022,J4,inform y serv de informacion,325413591,723621,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12143,2022,J4,inform y serv de informacion,325413591,723621,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
13048,2022,J4,inform y serv de informacion,325413591,723621,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
19503,2022,J4,inform y serv de informacion,219603053,46338,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10632,2022,J4,inform y serv de informacion,219603053,46338,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12718,2022,J4,inform y serv de informacion,219603053,46338,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20346,2022,J4,inform y serv de informacion,140701973,19781,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
12480,2022,J4,inform y serv de informacion,140701973,19781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19392,2022,J4,inform y serv de informacion,140701973,19781,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1
10681,2022,J4,inform y serv de informacion,62260879,56747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
20993,2022,J4,inform y serv de informacion,62260879,56747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18016,2022,J4,inform y serv de informacion,62260879,56747,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12127,2022,J4,inform y serv de informacion,140875177,9369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18017,2022,J4,inform y serv de informacion,140875177,9369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20340,2022,J4,inform y serv de informacion,140875177,9369,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19797,2022,J4,inform y serv de informacion,14038042,35087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20925,2022,J4,inform y serv de informacion,14038042,35087,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18864,2022,J4,inform y serv de informacion,14038042,35087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13369,2022,LN,inmobiliarias y alquileres,43083653,345945,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0
10146,2022,LN,inmobiliarias y alquileres,43083653,345945,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
18208,2022,LN,inmobiliarias y alquileres,43083653,345945,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0
19121,2022,LN,inmobiliarias y alquileres,18421317,554245,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
11696,2022,LN,inmobiliarias y alquileres,18421317,554245,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
18835,2022,LN,inmobiliarias y alquileres,18421317,554245,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
13844,2022,LN,inmobiliarias y alquileres,297631525,23549,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0
13257,2022,LN,inmobiliarias y alquileres,297631525,23549,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0
11741,2022,LN,inmobiliarias y alquileres,297631525,23549,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
11880,2022,LN,inmobiliarias y alquileres,31575992,83493,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19042,2022,LN,inmobiliarias y alquileres,31575992,83493,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
20899,2022,LN,inmobiliarias y alquileres,31575992,83493,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
11763,2022,M1,"actividades profesionales, cientificas",27453035,54760,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12913,2022,M1,"actividades profesionales, cientificas",27453035,54760,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
11688,2022,M1,"actividades profesionales, cientificas",27453035,54760,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
20112,2022,M1,"actividades profesionales, cientificas",87275066,114832,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0
10751,2022,M1,"actividades profesionales, cientificas",87275066,114832,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
18610,2022,M1,"actividades profesionales, cientificas",87275066,114832,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
19922,2022,M1,"actividades profesionales, cientificas",81403177,126457,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
14175,2022,M1,"actividades profesionales, cientificas",81403177,126457,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12147,2022,M1,"actividades profesionales, cientificas",81403177,126457,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
11410,2022,M1,"actividades profesionales, cientificas",35414227,219828,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
20901,2022,M1,"actividades profesionales, cientificas",35414227,219828,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11321,2022,M1,"actividades profesionales, cientificas",35414227,219828,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
12883,2022,M1,"actividades profesionales, cientificas",4373660,36826,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20722,2022,M1,"actividades profesionales, cientificas",4373660,36826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12839,2022,M1,"actividades profesionales, cientificas",4373660,36826,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
14939,2022,M1,"actividades profesionales, cientificas",515956864,584879,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
18313,2022,M1,"actividades profesionales, cientificas",515956864,584879,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
20740,2022,M1,"actividades profesionales, cientificas",515956864,584879,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1
18819,2022,M1,"actividades profesionales, cientificas",15474745,72333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10823,2022,M1,"actividades profesionales, cientificas",15474745,72333,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
20978,2022,M1,"actividades profesionales, cientificas",15474745,72333,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
21055,2022,M1,"actividades profesionales, cientificas",29271672,95907,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13604,2022,M1,"actividades profesionales, cientificas",29271672,95907,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
13777,2022,M1,"actividades profesionales, cientificas",29271672,95907,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
15391,2022,M1,"actividades profesionales, cientificas",6247677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11816,2022,M1,"actividades profesionales, cientificas",6247677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10819,2022,M1,"actividades profesionales, cientificas",7690173,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10822,2022,M1,"actividades profesionales, cientificas",7690173,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18955,2022,M1,"actividades profesionales, cientificas",7690173,107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11614,2022,M1,"actividades profesionales, cientificas",40198922,67031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10828,2022,M1,"actividades profesionales, cientificas",40198922,67031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11210,2022,M1,"actividades profesionales, cientificas",1042184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20721,2022,M1,"actividades profesionales, cientificas",71018260,25184,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
20969,2022,M1,"actividades profesionales, cientificas",71018260,25184,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18214,2022,M1,"actividades profesionales, cientificas",71018260,25184,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14451,2022,M2,publicidad,12487466,262774,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20312,2022,M2,publicidad,12487466,262774,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
11587,2022,M2,publicidad,12487466,262774,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
20695,2022,N2,agencias de viajes,150717543,21172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10466,2022,N2,agencias de viajes,150717543,21172,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12217,2022,N2,agencias de viajes,150717543,21172,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20698,2022,N2,agencias de viajes,7790470,5417,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13001,2022,N2,agencias de viajes,7790470,5417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10474,2022,N2,agencias de viajes,7790470,5417,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
12730,2022,N2,agencias de viajes,5366498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
