id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb
10013,2020,H1,auxiliares del transporte,17615466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10015,2020,H1,auxiliares del transporte,10395723,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10021,2020,H1,auxiliares del transporte,5916569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10022,2020,H1,auxiliares del transporte,8658682,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10023,2020,H1,auxiliares del transporte,3030444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10025,2020,H1,auxiliares del transporte,3176378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10128,2020,H1,auxiliares del transporte,1992354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10141,2020,H1,auxiliares del transporte,3120057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10145,2020,H1,auxiliares del transporte,5940935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10157,2020,H1,auxiliares del transporte,1980084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10203,2020,H1,auxiliares del transporte,4137007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10225,2020,H1,auxiliares del transporte,58030157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10228,2020,H1,auxiliares del transporte,4494489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10278,2020,H1,auxiliares del transporte,2770028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18547,2020,H1,auxiliares del transporte,2060971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17968,2020,H1,auxiliares del transporte,29649203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17969,2020,H1,auxiliares del transporte,10751875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17971,2020,H1,auxiliares del transporte,2017229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19354,2020,H1,auxiliares del transporte,2757370,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10411,2020,H1,auxiliares del transporte,7147582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10412,2020,H1,auxiliares del transporte,5472798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10413,2020,H1,auxiliares del transporte,22450057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10415,2020,H1,auxiliares del transporte,67170673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10420,2020,H1,auxiliares del transporte,46125429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10421,2020,H1,auxiliares del transporte,19829984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10422,2020,H1,auxiliares del transporte,4731481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15445,2020,H1,auxiliares del transporte,3867286,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
